question,label
"다음 그림을 살펴보세요.
바른 자세로 서 있습니다. 바르게 앉아 있습니다. 연필을 바르게 잡습니다.1. 다음을 따라 쓰세요.
바른 자 세 
바르게 
다음 그림에서 바른 자세를 모두 골라 ○표 하세요. 바른 자세로 앉으려면 허리를 어떻게 해야 하나요?",0
"다음을 읽어보세요.
나비, 사슴, 바다, 소나무, 별, 사람, 사랑, 동생, 선생님 
다음을 읽어보세요. 나비, 사슴, 바다, 소나무, 별, 사람, 사랑, 동생, 선생님. 위와 같은 것들이 낱말입니다. 다음을 따라 쓰세요.
낱말을 골라 보세요. 
토끼 토끼가 귀엽습니다.
나는 사람입니다.",1
"다음을 읽어보세요.
한국어는 한글로 씁니다.
한글은 세종대왕이 만들었습니다.
다음을 살펴보세요.
의 낱자들이 자음자입니다.
의 낱자들이 모음자입니다.
자음자 하나하나와 모음자 하나하나들을 낱자라고 합니다.",0
"다음을 따라 쓰세요.
한글 자음자 모음자 낱자
다음에서 한글로 된 낱말을 골라보세요.
사람
다음 낱말에서 같은 낱자를 찾아 표 하세요.
같은 자음자 찾기
하마, 이모
같은 모음자 찾기
기차, 보리
어휘 정리
자음자 위에는 빨간색으로, 모음자 위에는 파란색으로 따라 써 보세요.",0
"다음을 읽어보세요.
글씨를 쓸 때 순서에 따라
씁니다.
어휘 연습
다음을 따라 쓰세요.
순서
순서에 따라 낱자를 써 보세요.
숫자가 작은 것부터 큰 순서대로 되어 있는 것을 골라 보세요. 

어휘 정리
자음자와 모음자를 순서대로 말해 보세요.",0
"다음을 살펴보세요.
 바다, 다리, 시소, 가구, 노래
의 낱말들은 모두 받침이 없는 낱말들입니다.
강물, 동생, 샘, 산속, 굴뚝
의 낱말들은 모두 받침이 있는 낱말들입니다.
바람, 사랑, 친구, 사슴, 공부
의 낱말들에서 빨간색으로 된 글자들은 받침이 없습니다.
의 낱말들에서 파란색으로 된 글자들은 받침이 있습니다.",1
"다음을 따라 쓰세요.
받침
다음에서 밑줄 그은 낱말 중 받침이 없는 낱말은 어느 것인가요?
 옷을 샀다. 밤이 깊었다.  비가 내린다. 꽃이 피었다.
다음 낱말의 받침 낱자는 무엇인가요?
콩
자기의 이름을 한글로 써 보세요. 자기 이름에 받침이 있나요, 없나요?
만약 있다면 어떤 받침이 있어요?",1
"다음 그림을 살펴보세요.
기쁘다  슬프다 무섭다 같은 것들이 기분을
나타내는 말입니다.
얼굴 표정으로 기분을 알 수 있습니다.
발표할 때는 자신 있게 말합니다.
큰 소리로 또박또박 말하면 자신 있어 보입니다.",1
"다음을 따라 쓰세요.
기분 자신있게
다음에서 기분을 드러내는 말을 모두 골라 표 하세요.
슬프다, 기쁘다, 크다, 무섭다
그림에서 자신 있게 말하는 모습을 골라 보세요.
어휘 정리
기분이 좋을 때는 언제인지 친구들 앞에서 자신 있게 말해 보세요.",1
"다음 그림을 살펴보세요.
학교에서 상을 받아서 기쁩니다.
넘어져 다친 친구를 보니 슬픕니다.
병원에 주사 맞으러 갈 때마다 겁먹습니다.
다음을 따라 쓰세요.
기쁘다 슬프다 겁먹다
어울리는 것끼리 짝지어 보세요.
기쁘다
겁먹다
슬프다
가장 어울리는 것을 골라 표 하세요.
돈을 잃어버려서 
천둥소리를 듣고
선생님께 칭찬을 들어서 기뻤어요, 슬펐어요, 겁먹었어요.
기뻤을 때와 슬펐을 때, 겁먹었을 때를 각각 1가지씩 써 보세요.",1
"다음 그림을 살펴보세요.
시험을 걱정합니다.
장난감이 고장 나서 화납니다.
큰 개를 보니 무섭습니다.
다음을 따라 쓰세요.
화나다 무섭다 걱정하다
가장 잘 어울리는 것끼리 짝지어 보세요.
화나다 무섭다 걱정하다
가장 잘 어울리는 것을 골라 보세요.
어머니께서 할머니 건강을 
숙제한 공책을 강아지가 물어뜯어서 
뱀이 지나가는 것을 보니 화났어요, 무서웠어요, 걱정했어요.
화났을 때, 무서울 때, 걱정할 때를 각각 1가지씩 써 보세요.",1
"다음 그림을 살펴보세요.
생일잔치를 해서 행복합니다.
문소리에 깜짝 놀랍니다.
친구에게 물을 쏟아 미안합니다.
어울리는 것끼리 짝지어 보세요.
행복하다 놀라다 미안하다
가장 잘 어울리는 것끼리 짝지어 보세요.
행복하다
놀라다
미안하다
가장 잘 어울리는 것을 골라 표 하세요.
엄마 품에 안겨있어서 
친구의 큰 목소리에 
친구 발을 모르고 밟아 행복했어요, 놀랐어요, 미안했어요.
행복할 때, 놀랄 때, 미안할 때를 각각 1가지씩 써 보세요.",1
"다음은 무엇을 하고 있는 것인지 이야기 해 보세요.
말하는이는 듣는이가 알아들을 수 있게 말해야 합니다.
듣는이는 바른 자세로 말하는이의 말을 들어야 합니다.
말하는 사람을 말하는이라고 하고, 이야기를 듣는 사람을 듣는이라고 해요.
다음을 따라 쓰세요.
말하는이 듣는이
말하는이에 대한 설명은 표, 듣는이에 대한 설명은 표 하세요.
또박또박 말합니다. 
듣는 사람을 바라보며 말합니다. 
다른 사람의 말을 귀 기울여 듣습니다. 
말하는이와 듣는이가 지켜야 할 자세는 무엇인지 한 가지씩 이야기해 보세요.",1
"다음을 소리 내어 읽어 보세요.
구름
하늘에 둥둥
하얀 구름
파란 하늘에 둥실둥실
부드러운 구름
시를 소리 내어 읽습니다.
시에서 재미있는 표현을 찾아봅시다.
시는 글쓴이의 생각과 느낌을 리듬 있게 표현한 문학 작품이에요.
어휘 연습
다음을 따라 쓰세요.
다음에서 시를 찾아 표 하세요.
똑똑똑
빗방울 떨어지는 소리
또르르또르르
빗방울 굴러가는 소리
오늘 수업이 끝나고 창문을 봤는데 비가 내렸습니다. 나는 우산이 없어서 걱정을 했습니다. 그때 교실 밖에 엄마가 있었습니다. 내 빨간
우산을 가지고 왔습니다.
어휘 연습 2번의 ‘빗방울’ 시를 읽어 보세요.",1
"다음을 각각 소리 내어 읽고 무엇이 다른지 말해 보세요.
구름
하늘에
하얀 구름
파란 하늘에
부드러운 구름
구름
하늘에 둥둥
하얀 구름
파란 하늘에 둥실둥실
부드러운 구름
시에 반복되는 말이 있습니다.
반복되는 말의 느낌을 살려 시를 읽어 봅시다.
반복되는 말은 같은 말이 여러 번 나오는 말이에요.
다음을 따라 쓰세요.
반복되는 말
다음에서 반복되는 말을 찾아 표 하세요.
산새
산속에는 시냇가에
산새 물새
조롱조롱 뾰롱뾰롱
조로롱 뾰로롱
나무에서 울고 물에서 운다.
위의 시를 소리 내어 읽고, 반복되는 말이 주는 느낌을 말해 보세요.",1
"다음을 보고 무엇을 읽고 있는지 말해 보세요.
나는 그림책을 좋아합니다.
그림책에는 글과 그림이 같이 있습니다.
그림책은 그림과 글로 이야기를 나타내요.
다음을 따라 쓰세요.
그림책
 다음 그림책을 보고, 어느 것이 글과 그림인지 각각 연결해 보세요.
상자가 있어요.
상자 안에 무엇이 있을까요?
내가 좋아하는 그림책을 하나 골라서 좋아하는 이유를 말해 보세요.",1
"다음 책을 보고 무슨 내용일 것 같은지 말해 보세요.
이 책의 제목은 '꼭꼭 숨어라'입니다.
나한테 이름이 있는 것처럼 시나 그림책에도 제목이 있습니다.
제목은 시나 그림책의 이름이에요.
어휘 연습
다음을 따라 쓰세요.
제목
다음을 보고 제목을 찾아 표 하세요.
여러분이 좋아하는 시나 그림책의 제목을 말해 보세요.",1
"다음 그림을 보고, ‘곰돌이’가 무엇을 하고 있는지 말해 보세요. 그리고 빈칸에
어떤 말이 들어갈지 이야기해 보세요.
아침에 일어납니다. ? 세수를 합니다. ? 옷을
문장은 글에서 하나의 생각을 나타내는 거예요.
어휘 연습
다음을 따라 쓰세요.
문장
다음 그림을 보고 누가 무엇을 하고 있는지 문장을 2개 만들어 적어 보세요.
사자는 하마는 원숭이는
바나나를 사진을 주스를
마셔요 먹어요 찍어요
위 그림을 보고 문장을 더 만들어 보세요.",1
"다음을 보고, 무엇이 있는지 말해 보세요.
참새 소리는 흉내 내는 말로 ‘짹짹’이라고 합니다.
아기가 우는 모습은 '응애응애'하고 흉내 내는 말로
나타낼 수 있습니다.
흉내 내는 말은 어떤 소리나 모습, 움직임을 나타내는 말이에요.",0
"다음을 따라 쓰세요.
흉내내는 말
다음에 어울리는 흉내 내는 말을 연결하고, 문장을 만들어 보세요.
새가  응애응애 노래해요.
아기가  팔랑팔랑 날아요.
나비가  짹짹 울어요.
위 그림을 보고, 개와 고양이의 소리를 흉내 내는 말을 넣어서 문장으로 말해보세요.",1
"다음을 보고, 각각 무엇인지 말해 보세요.
는 쉼표이고, . 는 마침표입니다. 는 느낌표이고, ? 는 물음표입니다.
는 모두 문장 부호입니다.
문장 부호는 문장의 뜻을 정확히 전달하고, 문장을 읽고 쉽게 알 수 있도록 쓰는 부호예요.
‘부호’는 어떤 뜻을 나타내려고 쓰는 표시예요.
다음을 따라 쓰세요.
문장부호
다음을 보고, 문장 부호의 이름과 쓰인 곳을 바르게 연결해 주세요.
마침표 쉼 표 느낌표 물음표
현수야, 안녕?
나는 민지야.
친구가 되어서 정말 기뻐!",1
"다음 문장 끝에 느낌표를 쓰고, 느낌을 살려 읽어 보세요.
네 이름이 참 예쁘구나
나한테 강아지를 주어서 정말 고마워
야호 비행기가 날아간다
다음 문장 끝에 물음표를 쓰고, 끝을 올려 읽어 보세요.
내일 우리 집에 놀러 올래
제가 만든 종이 비행기가 참 예쁘죠
현지야, 어디 아프니 ",1
"다음 빈칸에 쉼표와 마침표를 쓰고 읽어 보세요.
현지야 나 민수야
다음에서 문장 부호를 찾아 표 하고, 문장 부호의 이름이 각각 무엇인지
말하세요.
안녕? 박민지야.
넌 이름이 뭐니?
몇 학년 몇 반이야?
난 1학년 2반 김현수야,
만나서 반가워.
와, 우리 같은 반이구나!
친하게 지내자
문장 부호를 사용하여 오늘 있었던 일을 일기로 써 보세요.",1
"다음을 보고, 무엇을 하고 있는지 말해 보세요.
오늘 겪은 일을 엄마에게 말했습니다.
언제 어디에서 무엇을 했는지 겪은 일을 말할 수 있습니다. 다음을 따라 쓰세요.
겪다 다음을 보고, 건우가 무슨 이야기를 하고 있는지 빈칸에 써 보세요.
어제 학교 뒷산에 갔어요. 키가 큰 나무들도 보고 도토리도 주웠어요. 귀여운 다람쥐도 봤어요. 기분이 정말 좋았어요.
건우는 어제 학교 뒷산에서 일을 말하고 있습니다.
여러분이 오늘 학교에 와서 겪은 일을 말해 보세요.
자신이 보거나 듣거나 느끼거나 일을 하는 것을 모두 ‘겪다’라고 해요.",1
"다음은 무엇인지 말해 보세요.
오늘 겪은 일을 그림일기에 썼습니다.
그림일기에는 날짜와 그림, 글을 씁니다.
오늘 가장 기억에 남는 일을 그림일기에 그림과
글로 나타냈습니다.
그림일기는 오늘 겪은 일 가운데 가장 기억에 남는 일을
그림과 글로 나타낸 일기예요.
어휘 연습
 다음을 따라 쓰세요.
그림일기
다음에서 그림일기를 찾아 표 하세요.
그림일기를 쓸 때는 무엇이 들어가야 하는지 말해 보세요.",1
"아래의 문장을 크게 읽어 보세요.
흥부놀부 이야기는 재미있습니다.
슬픈 이야기를 들으면 눈물이 납니다.
이야기는 상상한 것을 사실처럼 꾸며서 말하는 것입니다.
이야기는 어떤 사실이나 있지 않은 일을 사실처럼 꾸며 재미있게 하는 말이나 글이에요.
다음을 따라 쓰세요.
이야기
다음 안에 들어갈 말은 무엇인지 쓰세요.
재미있는 무서운
내가 가장 좋아하는 이야기를 간단하게 이야기해 보세요.",1
"다음 그림을 보고, 생각이나 느낌을 말해 보세요.
한글 공부가 재미있다는 생각이나 느낌이 들어요.
다음을 따라 쓰세요.
생각 느낌
다음 중 생각이나 느낌을 말한 사람은 누구인가요? 
나는 서울에 살아요.
영화의 마지막 부분이 너무 슬펐어요.
우리 아빠는 회사에 다녀요.
나는 매일 줄넘기를 해요.
가을에 대한 생각이나 느낌을 말하여 보세요.",1
"다음 그림을 보고, 공통점을 찾아보세요.
흥부와 놀부 이야기에 등장하는 인물은 흥부, 놀부, 제비, 도깨비입니다.
인물은 이야기에 등장하는 사람 또는 동물입니다.
이야기에서 인물들은 각자의 역할이 있습니다.
이야기에 등장하는 사람 또는 동물을 인물이라고 해요.
다음을 따라 쓰세요.
인물
다음 그림을 보고 인물을 찾아 표 하세요.
내가 가장 좋아하는 이야기에 나오는 인물들을 써 보세요.",1
"다음 그림을 보고, 어떤 상황인지 이야기해 보세요.
흥부가 다친 제비를 고쳐주는 장면입니다.
장면은 이야기에서 어떠한 일의 벌어지는 모습을 말합니다.
여러 장면이 모여서 이야기가 됩니다.
어떤 곳에서 어떤 일이 벌어지는 모습을 장면이라고 해요.
다음을 따라 쓰세요.
장면
다음 안에 들어갈 말은 무엇인지 쓰세요.
만화에서 웃긴 이 나오면 깔깔하고 웃습니다.
선생님과 공부하는 은 교실에서 선생님과 함께 공부하는
모습입니다.
오늘 일어난 일 중에서 가장 기억에 남는 장면을 말해 보세요.",1
"다음을 읽어 보세요.
글자
한글은 한국의 글자입니다.
말을 글로 적기 위해서는 글자가 필요합니다.
글자는 자음자와 모음자가 합쳐져서 만들어집니다.
글자는 말을 적는 기호예요.
다음을 따라 쓰세요.
다음 안에 들어갈 말은 무엇인지 쓰세요.
바른 글씨는 바르고 정확하게 쓴 입니다.
한글은 한국의 입니다.
어휘 정리 ‘알파벳은 영어의 입니다. 에서 안에 들어갈 말은 무엇일까요?",1
