grade,num,subject,question
B,1,국어,"1. ‘낭송’과 ‘암송’ 중 알맞은 낱말을 빈칸에 쓰세요.
1) 시를.
시를하면 언제 어디서나 시를 즐길 수 있어서 좋습니다.
하기 위해 시를 외울 때까지 계속 읽었습니다.2) 노래하듯이 시를 합니다.
시의 분위기를 생각하며.
"
B,2,국어,다음 시를 낭송해 보세요. 우산 속 우산 속은 엄마 품속 같아요. 빗방울들이 들어오고 싶어 두두두두 야단이지요. 문삼석 이 시는 6줄로 이루어져 있습니다. 이 시는 6개의 행과 3개의 연으로 이루어져 있습니다. 몇 개의 행이 모여서 하나의 연이 됩니다. 1개의 행으로 이루어진 연도 있을 수 있습니다. 시의 한 줄을 행이라고 해요. 시에서 몇 행을 묶어서 구분한 부분을 연이라고 해요.
B,3,국어,"다음 시를 읽고 물음에 답하세요. 퐁당퐁당 윤석중 퐁당퐁당 돌을 던지자 누나 몰래 돌을 던지자 냇물아 퍼져라, 멀리멀리 퍼져라 건너편에 앉아서 나물을 씻는 우리 누나 손등을 간질여 주어라 이 시는 몇 개의 행과 몇 개의 연으로 이루어져 있나요? ( )연, ( )행 이 시의 4행을 써 봅시다. 어휘 정리 ‘소나무’로 3행시를 지어 보세요."
B,4,국어,"다음 그림에서 계속 나오는 모양은 무엇인가요? 위 그림에서 모양은 반복되어 나오고 있습니다. 시에서도 글자나 낱말, 또 문장이 반복되어 나오는 경우가 있습니다. 시에서는 글자의 수가 반복되기도 합니다. 시에서 되풀이하여 계속 등장하는 글자나 낱말, 또는 문장을 반복되는 말이라고 해요."
B,5,국어,"다음 시를 읽고 물음에 답하세요. 송알송알 싸리잎에 은구슬 조롱조롱 거미줄에 옥구슬 대롱대롱 풀잎마다 총총 방긋 웃는 꽃잎마다 송송송. 1. 이 시에서 ‘반복되는 말’에 대해 잘못 말한 사람은 누구인가요? ( ) 희영 1행, 2행, 4행은 글자 수가 4글자 4글자 3글자로 반복되고 있어. 희원: ‘은구슬’, ‘옥구슬’에서 ‘구슬’이라는 낱말이 반복되었어. 희철: ‘풀잎’도 세 번 넘게 반복해서 썼어. 희주: ‘송알’, ‘조롱’, ‘대롱’도 두 번씩 반복해서 ‘송알송알’, ‘조롱조롱’, ‘대롱대롱’으로 썼어."
B,6,국어,2. 이 시에서 글자의 받침으로 가장 많이 반복된 자음자는 무엇인가요? 어휘 정리 우리가 사용하는 말 중에 반복되는 말을 2가지만 찾아보세요.
B,7,국어,"다음과 같은 그림을 보면 어떤 이야기가 떠오르나요? 콩쥐팥쥐 이야기에는 콩쥐, 팥쥐, 새엄마, 개구리, 참새 등이 나옵니다. 콩쥐, 팥쥐, 새엄마, 개구리, 참새 등은 콩쥐팥쥐 이야기의 인물입니다. 이야기의 인물은 사람이 될 수도 있고, 동물이나 물건이 될 수도 있습니다. 이야기에서 어떤 일을 겪는 사람이나 사물을 인물이라고 해요."
B,8,국어,1. 다음 중 이야기의 ‘인물’이 아닌 것은 무엇인가요? 경찰서 어휘 정리 ‘흥부와 놀부’ 이야기에 나오는 인물을 3명만 말하여 보세요.
B,9,국어,"흥부가 되어 직접 말하여 보세요. “아이고, 불쌍한 제비가 다리를 다쳤구나!” 이야기에서 흥부가 한 말을 슬픈 표정과 속삭이는 목소리로 읽으면 더욱 실감 나게 읽을 수 있습니다. 실감 나게 읽기를 할 때에는 인물의 마음에 어울리는 표정과 목소리로 읽어야 합니다. 실제로 경험하는 것처럼 생생하게 읽는 것을 실감 나게 읽기라고 해요."
B,10,국어,"1. 다음 빈칸에 알맞은 낱말은 무엇인지 쓰세요.
내가 대상을 받다니 아직도 이 안 나요. 
친구가 정말 생생하고 것 같아요. 나게 말해 주어서 직접 공연장에 다녀온"
B,11,국어,2. 다음을 실감 나게 읽으려면 어떻게 해야 할까요? 호랑이:“어흥! 떡 하나 주면 안 잡아먹지!”
B,12,국어,"다음을 읽어 보세요.
봄이 왔습니다. 얼었던 강이 녹아 흐르고, 따뜻한 햇살이 비칩니다. 새싹이 파릇파릇.
돋아나고, 예쁜 꽃이 핍니다. 날씨가 따뜻해지자 사람들은 나들이를 떠납니다. 위 글은 4개의 문장이 모여 1개의 문단이 됩니다. 문장이 모여 문단이 되고, 문단이 모이면 한 편의 글이 됩니다. 완결된 생각을 표현하는 단위를 문장이라고 해요. 
몇 개의 문장이 모여 하나의 중심 내용을 나타내는 글의 부분을 문단이라고 해요. "
B,13,국어,"1. 다음 빈칸에 알맞은 말을 쓰세요. 
묻는  : 아침으로 무엇을 먹었나요?
감탄을 나타내는.
시키는.
정말 아름다워요!
빨리 숙제를 마치렴.권유하는 영화 보러 가자."
B,14,국어,"2. 다음 빈칸에 알맞은 말을 쓰세요. 
문장이 모여을 이루어요."
B,15,국어,다음 설명과 같은 뜻을 가진 낱말은 무엇일까요? ‘중심 낱말’에서 ‘중심’은 ‘매우 중요하다’는 뜻을 나타냅니다. ‘중심 낱말’이란 글에서 가장 중요한 낱말이라는 뜻입니다. 한 문단 안에서 중심이 되는 문장은 ‘중심 문장’입니다. 문단의 내용을 대표하는 문장을 중심 문장이라고 해요. 글에서 가장 중요한 낱말을 중심 낱말이라고 해요.
B,16,국어,"글을 읽고 물음에 답하여 보세요. 
로봇은 크기가 다양합니다. 크기가 큰 로봇은 사람보다 훨씬 더 키가 큽니다. 그런가 하면 크기가 아주 작은 로봇도 있습니다. 크기가 작은 로봇은 동전보다도 작습니다. 그래서 우리가 로봇을 알약처럼 삼키면 로봇은 우리 몸속에서 병을 찾아 치료하기도 합니다. 이 글의 중심 낱말은 무엇인가요?"
B,17,국어,2. 이 글의 중심 문장은 무엇인가요?
B,18,국어,"오늘 해야 할 일을 다음과 같이 써 놓으면 어떤 점이 좋을까요?
오늘 할 일.
실내화 빨기.
국어 시험 공부하기 책상 정리하기. 오늘 해야 할 일을 메모해 두면, 잊지 않고 기억할 수 있습니다. 다른 사람의 말을 들을 때에도 메모하면서 들으면 중요한 내용을 오래 기억할 수 있습니다. 메모를 할 때에는 중요한 내용을 간단히 씁니다. 
무엇을 기억하기 위해서, 또는 다른 사람에게 말을 전달하기 위해서 기록하는 짧은 글을 메모라고 해요."
B,19,국어,1. 메모를 하면 좋은 점은 무엇인가요?
B,20,국어,2. 다음 중 메모가 필요한 상황이 아닌 것은 무엇인가요?
B,21,국어,"아빠와 할머니가 무엇을 하고 있는지 말하여 보세요. 
아빠가 할머니와 전화로 대화하고 있습니다.  직접 만나지 못할 때에는 전화 대화로 서로의 소식을 전할 수 있습니다. 
전화 대화를 할 때에는 예절을 잘 지켜야 합니다.
전화로 이야기를 주고받는 것을 전화 대화라고 해요. 
사람이 지켜야 할 절차나 질서를 예절이라고 해요. "
B,22,국어,1. ‘전화 대화’와 가장 관련이 깊은 낱말은 무엇인가요?
B,23,국어,2. ‘전화 대화’를 할 때 지켜야 할 예절을 잘못 말한 친구는 누구인가요?
B,24,국어,"다음 그림에서 아이가 할아버지에게 하는 말을 잘 살펴보세요.
할아버지!
진지 드세요!
그래 너도. 
같이 밥먹자. 어른께는 높임말을 써야 합니다. ‘진지’는 높임말입니다. ‘먹어라’라고 하지 않고 ‘드세요’라고 하는 것도 높임말입니다.
나보다 나이가 많은 사람을 높일 때 높임말을 써요."
B,25,국어,1. 다음 중 높임말을 사용한 문장은 무엇인가요?
B,26,국어,"2. 다음 문장에서 높임말이 사용된 부분을 찾아 밑줄을 그어 보세요.
선생님께서 칭찬을 해 주셨습니다."
B,27,국어,다음 중 높임말을 사용해야 하는 때는 언제인가요?
B,28,국어,"다음을 읽어 보세요.
보고 싶은 친구 유리에게.
안녕? 잘 지내니? 네가 다른 곳으로 이사를 가고 나서 내가 얼마나 힘들었는지 몰라. 그래도 이렇게 편지로 내 마음을 전할 수 있어서 정말 좋아. 너랑 함께 즐겁게 놀던 때가 무척 그립다. 방학이 되면 만나고 싶어. 그 때까지 잘 지내.
그럼 안녕!
2016년 6월 20일.
친구 미희가 위 글은 ‘편지’로 마음을 전하는 글입니다. 위의 글에서 “안녕? 잘 지내니?” 이 부분이 첫인사입니다. 위의 글에서 “그럼 안녕!” 이 부분이 끝인사입니다."
B,29,국어,1. 옆의 글에서 “첫인사”를 찾아 밑줄을 그어 보세요.
B,30,국어,2. 옆의 글에서 “끝인사”를 찾아 밑줄을 그어 보세요.
B,31,국어,"3.다음은 마음을 전하는 글입 니다. 빈 곳 (가)에는 첫인 사에 적당한 문장을, (나) 에는 끝인사에 적당한 문장 을 써 넣어 보세요."
B,32,국어,다음 그림은 무엇을 하고 있는 것인지 이야기해 보세요. 글을 읽는 사람이 읽는 이입니다. 글을 쓸 때는 읽는 이를 생각하며 씁니다. 읽는 이가 누구인지 생각하며 마음을 전하는 글을 써야 합니다. 글을 읽는 사람을 읽는 이라고 해요.
B,33,국어,"어머니께
어머니! 오늘 제가 어머니를 많이 속상하게 했지요, 늦게 일어나서 아침밥도 제대로 안 먹고 엄마를 힘들게 해서 정말 죄송합니다. 다음부터는 어머니 말씀 잘 듣는 착한 아들이 되겠습니다.
어머니! 사랑해요! 많이많이 사랑해요!
 2016년 4월 18일.
아들 현식 올림.
1. 위의 글에서 읽는 이는 누구일까요?"
B,34,국어,2. 위의 글에서 글쓴이는 누구일까요?
B,35,국어,3. 위의 글에서 글쓴이는 읽는 이에게 어떤 마음을 전하려고 하나요?
B,36,국어,4. 마음을 전하는 글은 꼭 어휘 정리 고마운 마음 즐거운 마음 를 생각하면서 써야 합니다.
B,37,국어,"다음 그림을 살펴보세요.
사과가 떨어진 원인은 바람 때문입니다. 바람이 불어서 그 결과로 사과가 떨어졌습니다.
어떤 일이 일어나게 된 이유를 원인이라고 하고.
그로 인하여 일어난 일은  결과라고 해요."
B,38,국어,1. 아래 그림에서 “원인”을 나타내는 것을 골라 보세요.
B,39,국어,2. 아래 그림에서 “결과”를 나타내는 것을 골라 보세요.
B,40,국어,"3. 다음의 문장에서 밑줄 그은 부분이 원인과 관련된 것이면 (   ) 속에 ‘원인’이라고 쓰고, 결과와 관련된 것이면 ‘결과’라고 써 보세요."
B,41,국어,알맞은 말을 골라 보세요.
B,42,국어,"다음 그림을 살펴보세요.
원인.
결과.
바람이 많이 불었습니다. 그래서 사과가 떨어졌습니다. 바람이 많이 불었기 때문에 사과가 떨어졌습니다. 사과가 떨어졌습니다. 왜냐하면 바람이 많이 불었기 때문입니다."
B,43,국어,"다음 문장을 읽어 보세요. 늦잠을 잤습니다. 그래서 지각을 했습니다. 아침에 밥을 많이 먹었기 때문에 배가 부릅니다. 배가 아팠습니다. 왜냐하면 찬 음식을 너무 많이 먹었기 때문입니다. ‘그래서’, ‘때문에’, ‘왜냐하면’ 과 같은 말들은 이어 주는 말이라고 해요."
B,44,국어,1. 속에 들어갈 알맞은 말을 찾아 연결해 보세요.
B,45,국어,2. 그림에 맞게 설명한 문장을 찾아보세요. 눈이 내립니다. 왜냐하면 길이 미끄럽기 때문입니다. 길이 미끄럽습니다. 그래서 눈이 내립니다. 눈이 내렸기 때문에 길이 미끄럽습니다
