단어,레벨,과목,학년
글자,1,국어,A
낱말,1,국어,A
발음,1,국어,A
연필,1,국어,A
글자의 모양,1,국어,A
모음,1,국어,A
시작 자음,1,국어,A
거친 말,2,국어,A
결국,2,국어,A
고개 끄덕임,2,국어,A
고운 말,2,국어,A
고유어,2,국어,A
귀 기울이기,2,국어,A
그 다음에,2,국어,A
그 후,2,국어,A
그래서,2,국어,A
그러니까,2,국어,A
그리고,2,국어,A
그림,2,국어,A
그림책,2,국어,A
글감,2,국어,A
글자,2,국어,A
글자 모양,2,국어,A
기분,2,국어,A
끝,2,국어,A
낭독,2,국어,A
낭송,2,국어,A
내용,2,국어,A
노래,2,국어,A
눈맞춤,2,국어,A
느낌표,2,국어,A
대화,2,국어,A
동시,2,국어,A
동영상,2,국어,A
듣는 이,2,국어,A
듣는 자세,2,국어,A
들려주기,2,국어,A
따옴표,2,국어,A
마침표,2,국어,A
말하는 이,2,국어,A
말하는 자세,2,국어,A
맞장구,2,국어,A
목소리,2,국어,A
무엇,2,국어,A
문장,2,국어,A
문장부호,2,국어,A
물음표,2,국어,A
바른 말,2,국어,A
반대말,2,국어,A
반복되는 말,2,국어,A
받침,2,국어,A
발음,2,국어,A
발표,2,국어,A
분명한 목소리,2,국어,A
분위기,2,국어,A
비슷한 말,2,국어,A
사건,2,국어,A
상대방,2,국어,A
상상,2,국어,A
생각,2,국어,A
소개,2,국어,A
소리,2,국어,A
속도,2,국어,A
순서,2,국어,A
쉼표,2,국어,A
시선,2,국어,A
쓰는 순서,2,국어,A
아침에,2,국어,A
안녕,2,국어,A
안녕하세요,2,국어,A
안녕히 주무셨어요,2,국어,A
어제,2,국어,A
어휘,2,국어,A
언제,2,국어,A
왜,2,국어,A
욕설,2,국어,A
우리말,2,국어,A
이야기,2,국어,A
인물,2,국어,A
인사말,2,국어,A
일기,2,국어,A
일상생활,2,국어,A
입장,2,국어,A
장면,2,국어,A
저녁에,2,국어,A
절차,2,국어,A
주인공,2,국어,A
중간,2,국어,A
차례,2,국어,A
특징,2,국어,A
편지,2,국어,A
표정,2,국어,A
표현,2,국어,A
학교 다녀오겠습니다.,2,국어,A
행동,2,국어,A
흉내,2,국어,A
흉내 내기,2,국어,A
겪은 일,3,국어,A
까닭,3,국어,A
낱자,3,국어,A
뒷받침,3,국어,A
띄어 읽기,3,국어,A
띄어쓰기,3,국어,A
생활문,3,국어,A
설명,3,국어,A
애니메이션,3,국어,A
역할 놀이,3,국어,A
인상 깊다,3,국어,A
읽는 속도,3,국어,A
화제,3,국어,A
가르다,1,수학,A
가볍다,1,수학,A
길다,1,수학,A
길이,1,수학,A
두,1,수학,A
많다,1,수학,A
모으다,1,수학,A
무겁다,1,수학,A
바꾸다,1,수학,A
분,1,수학,A
사각형,1,수학,A
삼각형,1,수학,A
세,1,수학,A
수,1,수학,A
숫자,1,수학,A
시선,1,수학,A
작다,1,수학,A
적다,1,수학,A
짧다,1,수학,A
크기,1,수학,A
크다,1,수학,A
한,1,수학,A
가로,2,수학,A
값,2,수학,A
개월,2,수학,A
계산,2,수학,A
곧게 잇다,2,수학,A
곱02,2,수학,A
곱셈,2,수학,A
곱셈구구표,2,수학,A
곱셈표,2,수학,A
곱하기,2,수학,A
곱하다,2,수학,A
공 모양,2,수학,A
구구단,2,수학,A
규칙,2,수학,A
규칙을 찾다,2,수학,A
기간,2,수학,A
긴 바늘 ,2,수학,A
길이의 합(차),2,수학,A
꼭짓점,2,수학,A
날짜,2,수학,A
남다,2,수학,A
낮다,2,수학,A
날개,2,수학,A
너비,2,수학,A
넓다,2,수학,A
넓이,2,수학,A
네모,2,수학,A
년,2,수학,A
놉다,2,수학,A
높이,2,수학,A
늘어놓다,2,수학,A
늘이다,2,수학,A
다음의 수,2,수학,A
단위,2,수학,A
단위길이,2,수학,A
달력,2,수학,A
더하기,2,수학,A
덧샘(식),2,수학,A
동그라미,2,수학,A
둥근 기둥 모양,2,수학,A
뒤집다,2,수학,A
뛰어 세다,2,수학,A
마흔,2,수학,A
며칠,2,수학,A
모양,2,수학,A
무게,2,수학,A
묶음,2,수학,A
미터,2,수학,A
배,2,수학,A
백,2,수학,A
변,2,수학,A
부분,2,수학,A
분모,2,수학,A
분수,2,수학,A
분자,2,수학,A
빠진 수 ,2,수학,A
빼기,2,수학,A
뺄셈(식),2,수학,A
상자 모양,2,수학,A
서른,2,수학,A
선분,2,수학,A
세다,2,수학,A
세로,2,수학,A
세모,2,수학,A
센티미터,2,수학,A
수 배열표,2,수학,A
수직선,2,수학,A
순서,2,수학,A
쉰,2,수학,A
시각,2,수학,A
시간,2,수학,A
시계,2,수학,A
십,2,수학,A
쌓기나무,2,수학,A
쌓다,2,수학,A
약,2,수학,A
양,2,수학,A
오각형,2,수학,A
오전,2,수학,A
오후,2,수학,A
요일,2,수학,A
육각형,2,수학,A
원,2,수학,A
일,2,수학,A
잃다,2,수학,A
자릿수,2,수학,A
자릿값,2,수학,A
적은 수,2,수학,A
전체,2,수학,A
점,2,수학,A
점판,2,수학,A
조사,2,수학,A
좁다,2,수학,A
주일,2,수학,A
지나다,2,수학,A
직선,2,수학,A
짧은 바늘,2,수학,A
차례,2,수학,A
큰 수 ,2,수학,A
폭,2,수학,A
합,2,수학,A
그래프,3,수학,A
기호,3,수학,A
모양조각,3,수학,A
본을 뜨다,3,수학,A
분류,3,수학,A
표,3,수학,A
개월,1,슬기로운 생활,A
개미,1,슬기로운 생활,A
공부 시간,1,슬기로운 생활,A
교실,1,슬기로운 생활,A
귀 기울이기,1,슬기로운 생활,A
기자,1,슬기로운 생활,A
꿈,1,슬기로운 생활,A
나,1,슬기로운 생활,A
놀이,1,슬기로운 생활,A
눈,1,슬기로운 생활,A
다리,1,슬기로운 생활,A
메미,1,슬기로운 생활,A
머리,1,슬기로운 생활,A
모기장,1,슬기로운 생활,A
목소리,1,슬기로운 생활,A
문,1,슬기로운 생활,A
복도,1,슬기로운 생활,A
사과,1,슬기로운 생활,A
새 손,1,슬기로운 생활,A
아버지,1,슬기로운 생활,A
아빠,1,슬기로운 생활,A
어머니,1,슬기로운 생활,A
엄마,1,슬기로운 생활,A
인사,1,슬기로운 생활,A
입,1,슬기로운 생활,A
잘하다,1,슬기로운 생활,A
제비,1,슬기로운 생활,A
집,1,슬기로운 생활,A
친구,1,슬기로운 생활,A
칠판,1,슬기로운 생활,A
코,1,슬기로운 생활,A
코스모스,1,슬기로운 생활,A
파리,1,슬기로운 생활,A
팔,1,슬기로운 생활,A
화장실,1,슬기로운 생활,A
가수,2,슬기로운 생활,A
가을,2,슬기로운 생활,A
가정,2,슬기로운 생활,A
가족,2,슬기로운 생활,A
감,2,슬기로운 생활,A
감사,2,슬기로운 생활,A
강,2,슬기로운 생활,A
강아지,2,슬기로운 생활,A
개구리,2,슬기로운 생활,A
개나리,2,슬기로운 생활,A
개미,2,슬기로운 생활,A
거두다,2,슬기로운 생활,A
거실,2,슬기로운 생활,A
건물,2,슬기로운 생활,A
게양,2,슬기로운 생활,A
계울,2,슬기로운 생활,A
겨울나기,2,슬기로운 생활,A
겨울눈,2,슬기로운 생활,A
겨울방학,2,슬기로운 생활,A
겨울잠,2,슬기로운 생활,A
경찰,2,슬기로운 생활,A
계곡,2,슬기로운 생활,A
고모,2,슬기로운 생활,A
고모부,2,슬기로운 생활,A
고양이,2,슬기로운 생활,A
고종,2,슬기로운 생활,A
곡식,2,슬기로운 생활,A
곰,2,슬기로운 생활,A
과학실,2,슬기로운 생활,A
교감선생님,2,슬기로운 생활,A
교무실,2,슬기로운 생활,A
교사,2,슬기로운 생활,A
교장 선생님,2,슬기로운 생활,A
